External Library Name, Link to License, License Name, Binaries using the license, URL
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
crashpad, Apache-2.0, Apache-2.0, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, 
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/mesa_opengl32.dll ./emulator.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-agents.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge.exe, 
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-agents.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libEGL.dll lib64/gles_swiftshader/libGLES_CM.dll ./emulator.exe lib64/gles_swiftshader/libGLESv2.dll, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libEGL.dll lib64/gles_angle/libGLESv2.dll lib64/gles_angle/d3dcompiler_47.dll ./emulator.exe, https://chromium.googlesource.com/angle/angle
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll android-emu-curl.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
flatbuffers, Apache-2.0, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://github.com/google/flatbuffers
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/libshadertranslator.dll gfxstream_backend.dll ./emulator.exe, https://chromium.googlesource.com/angle/angle
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll android-emu-curl.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-agents.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe glib2_windows_msvc-x86_64.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe lib64/glib-2-vs11.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/cygcom_err-2.dll bin64/cyggcc_s-1.dll bin64/e2fsck.exe bin64/resize2fs.exe bin64/cygext2fs-2.dll bin64/cygintl-8.dll bin64/cyge2p-2.dll bin64/cygiconv-2.dll bin64/cyguuid-1.dll bin64/cygblkid-1.dll bin64/cygwin1.dll bin64/tune2fs.exe ./emulator.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator.exe, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, android-emu-metrics.dll android-emu-shared.dll android-emu-protos.dll image_converter.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe glib2_windows_msvc-x86_64.dll android-emu-agents.dll ./mksdcard.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll android-emu-curl.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe android-emu-tracing.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe android-emu-base-logging.dll, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
